Name,Party,Constituency,Date of Birth,Education
Adewale Layade,AD,Ife/Cent/North/South & East/Local Govt.,18/02/1948,Bachelors Degree in Economics & Urban Plan
Kehinde Olufemi Lawrence,AD,Ayedire/Iwo/Ola-Oluwa,03/11/1959,Bachelor of Law Degree/LL.B (Hons) B.L
Ojegoke Rafiu Oladeni,AD,Ibarapa Central/ Ibarapa North,01/08/1958,HND in Building Technology
Adeniyi Tajudeen Ademola,AD,Iseyin/Kajola/Iwujola/Itesiwaju,23/02/1963,Bachelors Degree in Law
Lateef Durojaiye Gbadamosi,AD,Oluyole Local Govt.,21/06/1942,OND & Certificate in Nursery Education
Sheik Mudathir Sekoni,AD,Irepo/Olurunssogo/ Dorelope,10/10/1953,HND Business Administration/ Management Studies
Babatunde Oduyoye,AD,Ibadan North West/ South West,01/10/1963,Bachelors of Science Degree in Psychology
Adebola Lateef Alli,AD,Lagelu/Akinyele,18/04/1943,Diploma in Mass Communications
Taiwo Dale Oluwasegun,AD,Oyo Alafin,04/10/1958,Master Degree - Car Post Graduate Diploma in Journalism
Adedeji Kazeem Adeshile,AD,Ibadan North-East/ South-East,February 22,Masters Degree in Philosophy
Adekunle Jenrade Kareem,AD,Ona-Ara/Egbeda,03/07/1950,Masters Degree in Nutritional & Industrial Biochemistry
Adibi Temilola Segun,AD,Ogbomosho/North/ South/Orire,30/04/1960,HND in Mining Engineering
Alli Balogun,AD,Ibadan North,17/12/1941,Post Graduate Diploma in Journalism
Folaranmi Oyebanji Simeon,PDP,Ogo-Oluwa/Surulere,16/04/1964,Bachelors Degree 2nd Class Upper Division in Philosophy
Sanusi Sadiq Anwo,PDP,Ibarapa East/Ido,09/06/1938,CCA (1965)
Adesiyan Ajani Hussain,AD,Atisbo/Saki East/ Saki West,25/03/1967,HND Agronomy
