Name,Party,Constituency,Date of Birth,Education
Emeye Augustine Kim,SDP,Ika South,15/08/1940,yy
Gbegbaje-Das One,NRC,Okpe,08/03/1940,B.Sc Agriculture
Godwin Ejoh,SDP,Ethiope West,12/12/1942,LL.B; B.A in Economics/Politics
Akangbou E. Joseph,SDP,Bomadi,15/11/1952,B.Sc. in Industrial & Pure Chemistry
Gordon M. Ogbedogor,SDP,Isoko South,28/02/1936,MBA in Business Admin.
Omiretsule Jemide,SDP,Warri North,,
Edesin Sylvanus Azigbo,SDP,Sapele,,
Mike A. Orieso,SDP,Esan South East,1948,B.A in History/Pol. Science
Onaiwu E. Giwa-Osagie,SDP,Ovia North East,16/04/1937,LL.B (Hons) & a B.L
Ogedegbe A. Otaniyen,SDP,Orhionmwon,01/01/1952,M.Sc Zoology
Aigbogun Ehizogie,NRC,Esan Central,08/03/1942,LL.B; B.L; M.A
Ogona Daniel Ehimare,SDP,Esan West,15/03/1939,F.C.A.
Aigbo K. H. Onagbon,SDP,Oria South West,01/01/1954,H.N.D in Civil Engineering
Davidson Oputteh,SDP,Etsako East LGA,15/12/1954,B.Sc in Pol. Science; M.P.A; an LL.B; B.L
Philip E. F. Edorhe,SDP,Owan East,07/09/1940,LL.B (Hons); BL in Law
Arc. Benedict E. A. Omiyi,SDP,Esan north East,29/04/1938,M. Sc. in Urban Dev. Planning
