Name,Party,Constituency,Date of Birth,Education
,,,,
,,,,
Obaro Isa,NPN,Kwara South,20/08/1934,"B.Sc, LLB & BL"
Olu Justus Olabode,UPN,Kwara South East,28/03/1930,Grade II Cert A/L
Saraki Abubakar Olusola,NPN,Ilorin/Asa,17/05/1933,"M.B, B.S, L.R.C.P, M.R.C.S (ENG)"
Salawu Suleiman Adisa,,Kwara Central,,
,,,,
Shitta-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,"B.L. Law, L.L.B"
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,
Adebanjo Mufutau Olatunde,UPN,Lagos,,
Ogidan Jimoh Kolawale,,Lagos,,
Gana Jerry Alhassan,,,,
Ibrahim Idris Kuta,,,,
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,
Muazu Abdullahi,NPN,Kontagora,1924,
