Name,Party,Constituency,Date of Birth,Education
Suleiman Oba Olola,SDP,Ilorin West,22/07/1947,B.Sc (Hons) in Bus. Admin.
Gene Abubakar Kolo,SDP,Kaiama,17/07/1966,Doctor of Veterinary Med.
Ishola Julius Bamidele,SDP,Irepodun,1953,HND in Business Admin.
Bukoye Kola Ademola,SDP,Offa,04/02/1941,Library Science
Sulaiman Ahman Patigi,SDP,Edu,23/12/1956,Cert. in English/Arabic
Ishola Balogun,SDP,Ilorin East,22/11/1948,Advance Diploma in Public Account
I. O. Abubakar,SDP,Ifelodun,24/11/1948,Bachelor's Degree in Eng. Literature
Abubakar Sero Idris,SDP,Baruten,03/01/1956,Graduated from Teachers' College
Elias Wole Muda,SDP,Asa,28/03/1951,M.Sc. and MNSE
Isiaka Afolabi,SDP,Moro,26/10/1963,"Bachelor of Technology Degree in Architecture,"
Yekeen Olayinka Alabi,SDP,Oyun,11/11/1947,B.Sc. Degree in Econs
Raheem S. Alawaiye,SDP,Surulere,22/05/1942,Diploma in Urban & Reg. Planning
Omotilewa Aro-Lambo,SDP,Lagos Islan Federal,,
Adebayo Adedin,SDP,Mushin,13/03/1950,Diploma in Insurance & Marketing
E. A. Kolajo,SDP,Agege,15/12/1938,M.B.B.s M.D.
Olufemi Lanlehin,SDP,Ikeja,08/08/1953,LL.B in Law
