Name,Party,Constituency,Date of Birth,Education
Michael Bukwal,SDP,Shendam,15/06/1959,NCE
Damian Daloeng,SDP,Quaan-Pan,07/11/1957,"B.Ed, Master of Ed."
Musa Sanda,SDP,Lafia,15/05/1959,LL.B and BL
James Vwi,SDP,Bakin Ladi,01/04/1952,Bachelor of Arts in Public Admin.
Davon Sambo B. Gyec,SDP,Jos South,05/11/1958,Diploma in Community Medicine
Danjuma Alkali,SDP,Toko,16/01/1950,B.Sc. Degree in Business Admin.
Amina Moh'd Aliyu,SDP,Akwanga,October 1957,Teachers II Certificate
Abe A. Usman,SDP,Obi,05/01/1957,Graduate
Alfred Lliya Sagai,SDP,Lokkos,18/03/1955,LL.B (Hons)
Aminu Agwon Zang,SDP,Jos North,27/04/1960,Diploma in Industrial Design
Ogah Alex Ewolo,SDP,Nasarawa,25/12/1957,"NCE Biology, Physics Maths & Chemistry"
Umaru Saihu Ogah,NRC,Doma,February 1944,Diploma in Public Admin.
Abims A. Ebyei,SDP,Nasarawa Eggon,,
Chris I. Chuama,NRC,Okrika,20/01/1956,He Studied Secretariat Admin.
Imegwu Nnabuihe,SDP,Oyigbo,02/04/1963,Graduated in Medicine
Kpandel L. Baribor,NRC,Gokana,10/04/1959,Graduate
