Name,Party,Constituency,Date of Birth,Education
Emah Bassey,NDP,Etinan,21/06/1966,Bachelor of Law Degree
Ubong D. Etiebet,ANPP,Ukanafun/Orukanam,"June, 1964",Bachelor of Science
Enang Ita Solomon James,PDP,Itu/Ibiono Ibom,"December, 1962",Bachelor of Law
Nsini Akpan Umossoh,PDP,Iko Ekpene,"January, 1954",Bachelor of Law
Nduese Essien,PDP,"Eket, Onna, Esit Eket, Ibeno","February, 1944",B.SC (Hons) Business Admin
Benard Udoh,PDP,Mkpat/Enin/Ikot Abasi/ Eastern Obolo,"October, 1962",Higher National Diploma
Esio Oquong Udoh,PDP,Oron/Bo/Okobo/Udung Uko Urue Offiong-Oruko,"April, 1953","M.B; M.CH (NIG.) MBA, PH.D"
Iquo Inyang Minimah,PDP,Ikono/Ini,"September, 1965",Bachelor of Law Degree
Ezekiel A. Anaka,PDP,Abak/Etim Ekpo/Ika,"July, 1964",Bachelor of Science
Bassey Etim,PDP,Uyo,"September, 1963",Master of Science
Harry Oranezi,PDP,Nnewi North/South/ Ekwusigo,"January, 1967",M.B.B.S
Balonwu Jessie,PDP,Onitsha North/South,"August, 1951",Bachelor of Law Degree (L.L.B)
Ugochukwu Nedu,PDP,Orumba North/South,"May, 1966",Bachelor of Science in Accountancy
Jerry Sonny Ugokwe,PDP,Idemili North/South,"April, 1957",PH.D
Ughanze Nnnaemeka C.,PDP,Oyi/Ayamelum,"August, 1958",Bachelor of Law Degree
Nzeribe Chuma M.,PDP,Ihiala,"September, 1959",HND in Accounting
