Name,Party,Constituency,Date of Birth,Education
Maiwada Ahmed,PDP,Birnin-Gwari/Giwa,1949,OND
Tijjani Sani Paki,PDP,Ikara/Kubau,15/03/1957,HND in Civil Engineering
Abdukadir Usman,PDP,Zaria,"12, 1960",A.D.P.A
Ghali Umar Na'Abba,PDP,Kano Municipal,29/09/1958,Bachelors Degree in Political Science
Mahmoun Baba Bichi,PDP,Bichi,20/06/1951,Bachelors Degree in History /Hausa
Umaru Aliyu Tsanyawa,PDP,Tsanyawa/Kunchi,1949,"1-2 Yrs Service in Training, National Comm. Health Assistant"
Sirajo Moh'd Wudil,PDP,Wudil/Gargo,1940,Post Graduate Certificate in Public Administration
Danlami Hamza,APP,Fagge,02/08/1951,Master Degree in Area Studies (Africa)
Muhtan Abdulrazaq Gora,PDP,Dala,15/07/1962,Master Degree in Business Administration
Adamu Abdul Fanda,PDP,Albasu/Ajingi/Gaya,15/01/1962,Master's Degree in Political Science
Bashir Yusuf Biburim,PDP,Tiwada/Doguwa,1952,"Primary and Secondary Education, One year course"
Hamza Zakari Gwarzo,PDP,Gwarzo - Kabo,27/11/1950,Grade II Teachers Certificate
M. A. Yusuf Bunkure,PDP,Bunkure/Rano/Kibiya,1959,Masters Degree in Business Administration
Garba Mohammed Butalawa,PDP,Kura/Madobi/ Garunmalam,September 1953,HND in Agriculture
Shehu U. Aliyu Yammedi,PDP,Karaye/Rogo,02/12/1969,"OND in Business Admin., Cert. in Community Health"
Jibrin Barau,PDP,Tarauni,19/06/1959,HND Accountancy
