Name,Party,Constituency,Date of Birth,Education
Adekunle Olukayode,SDP,Orire,03/05/1955,NCE
Thomas Teju Oke,SDP,Ogbomoso North,17/04/1957,LL.M Degree
Suara A. Tunde,SDP,Ibadan North,07/04/1954,Certificate in Surveying
Oyebanji O. Adeleke,SDP,Afijio,24/12/1942,Diploma in Marketing
Taiwo Dominic Olalere,SDP,Kajola,23/08/1959,B.A. in Education
Adegbola M. Ademola,NRC,Iseyin,1956,"Bachelor of Law LL.B, BL Hons"
Abdullahi Kani Wuse,SDP,Awe,1960,Diploma in Accounts & Audit
Johnson J. Zogore,SDP,Bassa,23/11/1953,B.Sc. and Master of Science Economics
Dongs Duncil Jyem,SDP,Langtang,1950,Diploma in Account & Audit
Yakubu Usman Shehu,SDP,Kanem,13/01/1958,HND in Agriculture
James E. Ogason Ajamia,SDP,Karu,20/11/1945,Diploma in Accounting
Hassan Danladi,SDP,Keffi,17/04/1956,B.Sc.
Dashe Amos Silas,SDP,Langtang North,17/04/1956,Bachelor of Law Degree
James Fyakfu Bakfur,SDP,Mangu,05/05/1951,B.Sc. in Agriculture
Gobum Benka Suwa,SDP,Pankshin,,B.Sc. in Civil Engineering
Ibrahim Idi Waziri,SDP,Wase,1962,B.Sc. in Information Stud.
