Name,Party,Constituency,Date of Birth,Education
Isidore Obasi,NPP,Ahiazu Mbaise,02/12/35,
E. D. N. Uwandu,NPP,Mbaitoli,27/11/34,
Kevin Nwosu,NPP,Orlu,10/11/34,
Onwuka O. Oreh,NPN,Arochukwu,08/08/38,
Cletus Nwokoro,NPP,Okigwe-South,19/09/34,
Oke U. Oke,NPP,Ohafia,18/09/38,
S. U. Wanganga,NPP,Aba,01/07/42,
Michael Amaehchi Oje,NPP,Ohaozara West,10/06/37,Sch. Cert
V. O. Nnaji,NPP,Isu,,
Ogwe Kalu Ogwe,NPP,Bendel,31/12/36,"L.L.B, B.L, Diploma in Bus. Org & Management"
Appolos N. Njoku,NPP,Isiala Ngwa,21/11/38,
T. N. Ochiama,NPP,Ikeduru,,
Empire Ndukaka Kanu,NPP,Ikwuano Umuahia,23/05/42,"HND Bus. Studies, Diploma Purchasing & Supply"
K. R. Obioha,NPP,Ideato,,
Jonas O. Iwuagwu,NPP,Mbano West,03/11/38,
Chikwe H. Obihara,NPP,Owerri South,30/11/27,B.Sc Chemistry
