Name,Party,Constituency,Date of Birth,Education
Enwereuzor Eze Anthony,APP,Aba North/South,18/08/1951,(MBA) Finance
Ohuabunwa M. Arukwe,PDP,Arochukwu/Ohafia,24/05/1957,HND/Bachelor of Technology in Microbiology Bsc.
Macebuh Chinonyerem,PDP,Ukwa East/Ukwa West,8/07/1956,Bachelor Engineering
Iheanacho Obioma,PDP,Ikwuano/Umuhia North/South,17/04/1960,Bachelor Degree in Econs
Nwakanma Chimaobi,PDP,Isiala Ngwa North/ South,16/04/1944,Masters Degree in Marketing
Njoku Nnamdi,PDP,Bende,19/09/1963,Bachelor Degree
Uchechukwu N. Maduako,PDP,Isuikwato/Munneochi,02/02/1960,"MBA, Business Admin."
Clifford Ohiagu,PDP,Obingwa/Osisioma/ Ugwunagbo,31/10/1942,Doctoral Degree in Crop Protection
Maxwell Bulama,APP,Hong/Igombi,15/11/1950,Bachelor Degree in Business Administration
Barata Ahmed Hassan,PDP,Guyuk/Shelleng,13/02/1960,Diploma in Public Accounts & Audit
Babale Martin,PDP,Jada/Ganye/Mayo Belwa/ Toungo,1958,National Diploma in Agric Engineering
Gella Njida Ahmed,PDP,Mubi/MU/S/Maiha,1957,Diploma from College of Business Studies
Tukur Awwal D.,PDP,Yola North/Yola South/ Girei,25/03/1965,Bachelor of Law Degree; LLB
Gurin Nuhu Borbo,PDP,Fufore/Song,24/03/1958,Diploma in Sociology & Social Anthropology
Betu Mamuno,PDP,Demsa/Numan/Lamurde,30/10/1947,Bachelor of Law Degree
Kwaghe Ishaku Terei,PDP,Yola North/South Girei,,
