Name,Party,Constituency,Date of Birth,Education
Amos Sunday,GNPP,Song,1943,Advance Certificate in Education
Dikko Hamman,GNPP,Maiha,1939,
M. G. Aeneas,UPN,Numan,05/01/18,
Iliya Galiya Audu,NPN,,01/01/40,"WASC (Grade II), Diploma Journalism"
Gbo-Aondo David Hitler,GNPP,Takum,1949,Teachers Grade II
Lanko Abdul-Kadiri,UPN,Sawa,1935,Teachers Grade II Certificate
Mahmud Aliyu,NPN,Yola,1929,Business Admin.
Mabrama-Jen Benson M.,UPN,Karimu Lamido,1936,Teachers Grade II Certificate
Nzalak M. James,GNPP,Takum,1944,Teachers Grade II Certificate
Saraso David Bate,UPN,Ganye,11/10/38,SSCE
Vonti Yakoko Dominic,UPN,Zing,1938,Diploma (General Admin)
Agwu Agwu Nwogo,NPP,Ohozara,06/06/40,"Teacher's Grade III & II, NCE Certificate"
Alu Samson Oko,NPP,Nkwerre/Amaigbo,17/04/38,"LL.B (Hons),B.L Degree"
Chukwu Paulinus Umah,NPP,Ohaji/Egbema/Oguta,06/02/32,Std.VI
Eleke Onwu Paul,NPP,Ezinihitte,05/05/25,Diploma in Physical and Health Education
Ihekweazu S. M. C.,NPP,Nkwere/Amaigbo,10/09/37,Career Nurse
