Name,Party,Constituency,Date of Birth,Education
Ogundipe Israel Adisa,SDP,Odeda,01/02/1950,B.Sc in Physics/Maths
Bisiriyu A. Popoola,SDP,Egbado North,31/12/1941,B.Sc.
Adekunle Adeshina,SDP,Abeokuta North,29/09/1938,Graduate
Adegbenro Adesina,SDP,Ifo,07/01/1947,Graduate
Segun Seriki,SDP,Ijebu North,28/08/1961,Industrial Chemistry
Kayode K. Akinsanya,SDP,Sagamu,15/07/1936,Accountancy
Ayodele Rafiu Tekun,SDP,Ogun Waterside,03/08/1956,Post and Telecom Training School
Lawal Remi,SDP,Ijebu Ode,28/07/1957,B.Sc (Hons) in Agricultural Economics
Olawale Oshun,SDP,Ijebu East,26/03/1950,B.Sc. in Agricultural/Economics
Odusanya O. Francis,SDP,Odogbolu,09/09/1942,Diploma in Social Admin.
Ladeinde B. A.,SDP,Obafemi Owode,31/08/1953,B.Sc Pharmacy & B.Sc Optometry
Oladipupo O. Adebutu,SDP,Ikene,,
Korede Duyile,SDP,Idanre,16/11/1945,Master's Degree (Banking & Finance)
Ogunbameru D. A.,SDP,Okitipupa,25/05/1951,B. Ed. (Mathematics)
Olanusi Ali Olaganju,SDP,Akoko South,28/02/1942,Diploma in Business Admin.
Wilson Rotimi Dennis,SDP,Odigbo,22/07/1962,Studied Optometry
