Name,Party,Constituency,Date of Birth,Education
Benjamine Omoruwa,UPN,Warri,10/11/25,B.L
P. A. Gbinije,NPN,Ethiope South,1926,School Cert.
M. O. Okun,UPN,Owan,1944,
P. Eguaseki Ogida,UPN,Oredo,28/02/53,
M. Nwose,UPN,Ndokwa,11/07/35,"University G.C.E, ACIS (Intermediate)"
Amen Z. Momodu,UPN,Etsako,06/09/31,OND Criminal Detective
C. F. Abeki,UPN,Bomadi,15/09/39,
F. O. Iyayi,UPN,Okpebho,"December, 1925",
R. A. Iduwe,UPN,Ika,28/08/31,
P. E. S. Ideh,NPN,Ughelli,03/11/33,
Mohammed Bornoma,NPN,Akko-Pindiga,1925,Diploma in Local Govt & Accounts
Abubakar Tuggar,NPN,Gamawa,,
Michael A. Agbamuche,NPP,Oshimili,16/08/20,"L.L.B, B.L"
A. E. Ayomanor,NPN,Okpe,03/08/37,"LLB, BL"
Joseph B. Balogun,UPN,Akoko Edo,27/03/29,Diploma Cert. in Automobile
Tom Egbuwoku,UPN,Isoko,01/10/40,B.Sc in Econs. M.L.B
