Name,Party,Constituency,Date of Birth,Education
Tijani Zannah Zakariya,SDP,Yusufari,27/08/1966,Secondary School Cert.
Afuno Bulama Masaba,SDP,Bursari,1953,B.Sc
Alhassan Adamu Tikau,SDP,Nangere,15/01/1954,B.Sc
Sanda Yelwa,SDP,Fika,1963,LL.B (Hons) B.L.
Umaru Audu,SDP,Geidam,10/03/1960,Diploma in Agriculture
Ahmed Alhaji Musa,SDP,Yunusari,01/01/1960,Diploma in Local Govt. Finance & Administration
Wakil Maidala Bularafa,SDP,Gujiba,1957,ND in Estate Management
Madu Kolo Yawudima,SDP,Damturu,1957,Diploma in Forestry
Sani Dahir El-Katuzu,SDP,Bade,12/09/1960,Diploma in Forestry
Mohammed M. Nguru,SDP,Nguru,22/01/1960,B.Sc. Library and Information Science.
Waya D. Lamarbago,PDP,Jakusko,,
Ibrahim K. Mijindadi,NRC,Gwagwalada,1953,National Certificate of Education
Gaza Lazarus Zuka,SDP,Municipality,18/06/1960,"B. A in Pol. Science; M. SC, Rural Development"
Umoru Abdullai,NRC,Abaji,,
Jacob E. Othman,NRC,Kuje,,
