Name,Party,Constituency,Date of Birth,Education
Dairo Amos Okunola,UPN,Odo-Otin,28/08/28,Teachers Grade II Certificate
Opakanmi Johnson Oyedeiji,UPN,Irewole West,01/12/1928,GCE O/Level
Kataiye Yanjue Lateef Bakere,UPN,Iwo,1939,
Fatola Johnson Olasupo,UPN,Akinyele North,23/10/27,SSCE
Labiyi Ladipo,UPN,Irewole East,15/06/19,Dip. In Business Org. & Mgt. & Certificate in Tax Admin
Loasebikan Samuel G.,UPN,Ondo-Oshun,26/08/30,B.A. (Hons.) Modern History
Olabode Buraimoh Olaniyi,UPN,Odo-Oshun,22/04/36,"B.Sc (Bus. Admin, Major in Accounts)"
Oyatobo Oluwole,UPN,Oyo South,25/04/1938,Degree in General Agriculture
Oladepo Olaniyan,UPN,Ilobu,01/04/41,"Diploma in Trade Unionism; GCE (O/L) Class IV,"
Shiyanbola S. A.,UPN,Ede South,23/06/41,Ph.D Psychology
Idakula Amos Bez,NPP,Keffi,11/06/49,"Bachelor of Theology, Post Graduate Diploma in Educational Psychology (PGCE)"
Laven John Lashat,NPP,Langtang,02/04/37,
Mallo Josiah Yanu Maki,NPP,Akwanga,27/10/50,"HND Animal Science & Husbandry, B.A Education & Economics"
Shu'aibu Muh'd Danjuma,NPN,Langtang,30/12/42,
Wetkum Felix Mimang,NPP,Mangu,1948,Grade I Teacher's Cert.
Zakari Abdulkadiri,NPP,Wase,1938,Higher Diploma (General Agriculture)
