Name,Party,Constituency,Date of Birth,Education
Tijani Umara Kumaila,PDP,Marje/Monguno/ Nganzai,December 1946,Diploma in Personnel Management
Fanta Baba Shehu,PDP,Gubio/Magumeri/ Kaga,1966,Masters in Business Management
Ishaku Joshua Sharah,AD,Askira/Uba-Hawul,December 1960,B.Sc Pharmacy
Modu Alhaji Musa,AD,Kukawa Abadam/ Mobbar Guzamala,1958,Dip. in Local Govt. Admin.
Mohammed U. Kumaila,ANPP,Maiduguri Metro Politan,September 1967,Bachelor of Law Degree
Baba Gana Tijani,ANPP,Bama/Ngala/ Kala-Balge,June 1962,Advance Diploma in Public Administration
Mohammad B. Lawan,ANPP,Jere,November 1962,Master Degree in Business Administration
Mohammed A. Ndume,ANPP,Damboa/Gwoza/ Chibok,November 1959,Masters Degree in Education
Haruna Yerima,ANPP,Biu/Kwaya/Bayo/Shani,November 1959,Doctor of Philosophy in Political Science
Mustapha Alkali Gajibo,ANPP,Dikwa/Mafa/Koduga,February 1950,Bachelor Degree in Electrical/Electronic Engineering
Adahi P. Andeshi,PDP,Bekwarra/Obudu/ Obanliku,26/09/1960,Masters in Education (M.ED) Bachelor of Arts (B.A. Ed)
Enoh John Enoh Owan,PDP,Obubra Etung,June 1966,"M.Sc in Demography, M.Sc in Bus. Admin."
Edward Eta Ogon,PDP,Ikom/Boki,February 1963,"B.A (Hons) Law, BL"
Peter Leja Igbodor,PDP,Ogoja Iyala,July 1962,Bachelor of Science Degree in Political Sc.
Bassey Edet Out,PDP,Calabar/Odukpani,October 1959,Bachelor of Science in Sociology
Essien Ekpeyong Agi,PDP,Akpabuyo/Bakassi/ Calabar,October 1956,Bachelor of Science
