Name,Party,Constituency,Date of Birth,Education
Aliyu Mohammed,NRC,Rabah,,
Yusuf Muazu Dorhella,NRC,,,
Assoshi Philip Kundila,SDP,Lau,21/04/1948,E. ED. in Language
Haruna A. Suleiman,SDP,Ibi,,He hold IJMB 11
Baku S. Tsokwa,SDP,Wukari,"July 27, 1954",B. Pharm (Hons)
Samuel D. Alhamdu,SDP,Zing,1964,Diploma in Theology
Hamza Bappa M. Ribadu,NRC,Jalingo,20/02/1961,GCE
Abbo Yakubu,NRC,Gashaka,02/06/1960,"Grade II, Teacher Cert."
Ishaya Alawaki Andrew,SDP,Sarduana,25/09/1958,Diploma in Education
David Abra Kwati,SDP,Yorro,02/02/1965,Grade II
Yakubu Kashibu,NRC,Takum,1942,Certificate in Painting and Decoration
Manwe Jerimon Samuel,SDP,Karim Lamido,26/06/1958,Diploma in Accountancy
Ahmed Abubakar,SDP,Bali,1960,National Health Cert.
Reuben Yahaya Garpiya,SDP,Donga,13/03/1943,HND in Secretariat Studies
Mustapha Wa'a Kayeri,SDP,Fune,1964,GCE
Bashir Sheriff Ahmed,SDP,Machina,05/08/1964,National Diploma in Animal Health
