Name,Party,Constituency,Date of Birth,Education
Umaru Bagudu,NRC,Lapai,10/03/1950,Certificate in Agriculture
Usman Ladan,NRC,Agale,February 1948,Majored in Building and Civil Engineering
Abdullahi M. Sani,NRC,Mariga,02/01/1949,B.Sc (Hons) in Estate Mgt.
Usman Dawuda Kutigi,NRC,Lavun,10/06/1962,HND (Admin.)
Dahiru Awaisu Kuta,SDP,Minna-Chanchaga,01/05/1949,Bachelor of Arts in History
Tanko Yusuf J. B.,NRC,Bosso,06/02/1959,Special/Administration
Aliyu Moh'd Saidu,NRC,Shiroro,06/06/1954,OND
Aliyu Moh'd Halidu,NRC,Agwara,05/02/1965,Diploma in Banking & Finance
Tanko Mohammed Lokoja,NRC,Suleja,02/07/1956,NCE
M. K. Ahmed,NRC,Bida,,
Mustapha I. Lemu,NRC,Gbako,,
Musa Yellow M. Ibbi,NRC,Wushishi,,
Abdullahi Issah,NRC,Borgu,,
George A. Ibirinde,SDP,Egbado South,15/03/1936,Diploma in Adult Ed. & Comm. Development
Olabisi Olatun Abiola,SDP,Abeokuta South,25/08/1947,GCE/O Level
Anuola Ajose,SDP,Ado-Odo/Ota,23/07/1954,B.Sc in Economics & M.Sc. Trans Planing
