Name,Party,Constituency,Date of Birth,Education
Eddie Esinkumo Ogoun,NRC,Sidga,25/07/1943,"AAS, B,.BA, M.A & Phd."
Arthur C. Kalagbor,SDP,Port-Harcourt,07/03/1964,Graduate
Linus Lebari Kpabari,NRC,Khana Rivers,05/08/1964,Studied Comparative Religion/Philosophy
Paworiso S. Horsefall,NRC,Aswa-Toun,,
Gushin Toun-Aregha,SDP,Sugbama,,
Abdullahi A. A. Zurmi,NRC,Zurmi,21/02/1957,Diploma in Accounting
Muhammadu M. Kaya,NRC,Maradun,1956,National Diploma in Accountancy
Mohammed D. Yabo,NRC,Yabo,01/01/1949,School Cert.
Bala Umar Mahe,NRC,Kaura-Namoda,1953,NCE
Bala Aminu Alhaji,NRC,Sokoto,29/10/1964,Diploma in Law
Haruna D. Sabon-Birini,NRC,Sabon Birnin,15/01/1956,Educated
Absullahi M. Binji,NRC,Binji,13/04/1963,Grade II Certificate
Abubakar Aliyu Gumbi,NRC,Wamamko,1953,Educated
Abdulkadir K. M. Gusau,NRC,Gusau,16/04/1940,Educated
Nahuche A. Abdulkarim,NRC,Bungudu,1945,Bachelor's Degree in Ed.
Muhammed Usman,NRC,Bukkuyum,1955,Grade II Certificate
